,x,y,z,Vx,Vy,Vz,cloneOf
18917,-3072915414.110911,995564008.1738226,-618680901.1804043,-204176.59575722253,-407623.3778007719,360722.4777293483,1050
18918,-2826309211.736678,1368078321.8735418,-978294863.0188268,-295042.29850038537,-366511.1843743289,341445.74993409344,1050
18919,-2961232733.785295,1182254945.1671999,-806285827.1873112,-250356.87553776667,-386166.62648900185,355193.43713107967,1050
18920,-3073619486.688594,987433894.4630822,-628140469.3622067,-203766.08558269095,-402883.10740230937,366237.8877998371,1050
18921,-2827422311.1115675,1355225066.7176757,-992860003.8804814,-294653.80310377525,-362025.1244841171,346529.2944076451,1050
18922,-2962150122.0739903,1171661618.0864284,-818290047.0719993,-249952.73808618553,-381499.9436209687,360481.6612039171,1050
18923,-3074334182.012284,979181117.0729154,-637492408.9082597,-203349.38180617028,-398071.31783090055,371690.5448936491,1050
18924,-2828551764.1159134,1342182971.8437374,-1007255023.2917283,-294259.5999420675,-357473.15550903545,351553.46287053777,1050
18925,-2963080988.6095343,1160912654.0969422,-830154057.1696904,-249542.6630568085,-376764.6979595851,365708.1185998721,1050
18926,-3075059377.6226172,970807090.0742433,-646735117.4118663,-202926.55582770752,-393188.83356191765,377079.51472606184,1050
18927,-2829697377.2237597,1328954271.9475422,-1021477454.7400975,-293859.75655994477,-352856.057405534,356517.3944573697,1050
18928,-2964025173.8927374,1150009894.9783847,-841875824.6433302,-249126.72071388076,-371961.7008648179,370871.9137923755,1050
18929,-3075794949.261059,962313248.3134816,-655867011.182506,-202497.6800963573,-388236.49118390476,382403.8739248368,1050
18930,-2583890601.3377156,1262801397.523451,-881257217.4680538,-318842.8295155816,-400730.3863365806,363298.45354416076,1050
18931,-2707465653.0792785,1090814382.896771,-726309859.543179,-270586.625845119,-422136.053706496,377909.2336651833,1050
18932,-2810435256.388449,910525612.1645144,-565834845.0292974,-220271.09456730337,-440329.0108149865,389643.8963301796,1050
18933,-2584893491.582946,1251220756.5617595,-894731550.8739166,-318429.38782348,-395956.2649234017,368853.2500233918,1050
18934,-2708292209.7970133,1081269912.1751897,-737415063.5738119,-270156.55676141364,-417169.93137077376,383687.42748944374,1050
18935,-2811079188.982978,903089950.8683432,-574486402.376521,-219827.67117740394,-435208.6827463226,395601.511955498,1050
18936,-2585911513.0073843,1239465391.8408422,-908052576.6346279,-318009.7082999058,-391110.1136076405,374344.845397093,1050
18937,-2709131237.2490892,1071581438.5603477,-748393915.329524,-269719.9989792605,-412128.88230464497,389399.8784482321,1050
18938,-2811732836.9571624,895542103.4938457,-583039524.4361612,-219377.55760499486,-430011.1013570881,401491.343298305,1050
18939,-2586944491.178301,1227537317.581927,-921218012.2610003,-317583.8628547848,-386192.76275237696,379772.2987086679,1050
18940,-2709982591.6724725,1061750622.1223228,-759244533.6405871,-269277.02730058826,-407013.77026591566,395045.6077424845,1050
